"Year-Week of Specimen Received","Adenovirus","Parainfluenza","HSV","CMV","RSV","Influenza","SARS-CoV-2","HMPV","% Positive"
"202240",7,37,5,1,12,4,1,0,18.9
"202241",1,50,2,3,15,6,5,0,30.4
"202242",1,33,1,1,8,6,3,0,29.1
"202243",2,73,29,0,18,5,4,0,21.2
"202244",2,40,7,0,16,4,3,0,24.7
"202245",3,19,3,0,17,7,2,0,29.3
"202246",2,19,6,0,13,7,1,0,25.5
"202247",2,10,4,0,15,8,2,0,28.1
"202248",2,17,5,2,8,1,1,0,29.5
"202249",1,5,5,1,8,7,0,0,20.6
"202250",5,4,5,0,2,10,3,0,25.2
"202251",2,1,1,0,3,12,1,0,23.3
"202252",4,3,6,1,6,12,2,0,14
"202301",6,3,5,0,5,8,0,0,27
"202302",6,0,1,0,0,13,0,0,22.2
"202303",3,0,2,0,5,12,1,0,27.1
"202304",2,1,1,0,1,7,0,0,28.6
"202305",6,0,3,0,2,15,0,0,26.5
"202306",8,0,8,0,0,18,3,1,34.2
"202307",4,2,2,0,0,26,0,0,26
"202308",7,0,5,0,0,41,1,0,40.6
"202309",3,1,4,0,0,16,0,0,24.5
"202310",10,1,3,0,1,17,0,2,24.8
"202311",15,1,11,1,0,17,2,0,26.3
"202312",12,3,6,1,1,12,4,0,17.9
"202313",17,1,11,1,2,7,1,5,19.8
"202314",8,1,2,4,0,10,1,0,24.5
"202315",24,2,6,3,0,18,6,3,27.4
"202316",11,2,4,0,0,31,1,1,25.1
"202317",6,5,6,1,0,24,7,0,22.6
"202318",8,2,4,1,2,37,9,2,35.3
"202319",8,1,10,0,3,32,12,3,27.5
"202320",11,7,8,0,1,26,15,3,28.2
"202321",0,11,4,1,0,18,8,2,24.2
"202322",1,10,2,0,0,18,8,1,25.5
"202323",9,23,13,1,0,27,12,2,35.8
"202324",10,11,2,1,1,36,9,0,34.3
"202325",14,15,2,1,2,14,1,0,43.8
"202326",2,13,4,1,1,30,5,1,39.6
"202327",8,11,8,2,2,20,3,2,34.4
"202328",5,8,1,0,3,31,3,2,27
"202329",9,9,5,0,0,24,7,1,36.4
"202330",6,9,2,1,0,20,4,0,32.1
"202331",9,11,3,0,2,21,2,1,37.7
"202332",13,6,6,0,5,37,2,1,38.7
"202333",20,12,2,1,9,63,3,3,48.7
"202334",14,7,1,2,12,54,5,0,41.9
"202335",19,8,3,0,23,65,3,0,53.1
"202336",21,22,4,0,27,47,3,0,53.7
"202337",36,17,1,1,39,43,8,0,54.5
"202338",23,16,4,2,33,63,3,0,61
"202339",9,7,1,0,19,58,1,0,57.6
"202340",22,9,7,0,18,32,6,0,39.3
"202341",26,13,5,0,12,24,4,0,53.9
"202342",34,15,33,0,12,35,7,0,32
"202343",25,21,10,0,20,51,1,0,34.9
"202344",38,15,12,0,16,39,4,0,34.6
"202345",23,19,3,0,11,19,1,0,49.7
"202346",31,13,0,0,7,18,4,0,51.1
"202347",24,14,4,0,2,23,3,0,45.2
"202348",39,4,10,0,11,17,0,0,42.6
"202349",19,11,3,0,0,13,4,0,44.3
"202350",20,7,1,0,0,18,1,0,48
"202351",23,6,2,0,0,23,4,0,56.9
"202352",25,0,1,0,1,31,6,0,59.8
"202401",38,12,7,0,9,32,5,0,43.5
"202402",29,8,3,0,2,33,4,0,48.2
"202403",32,8,2,0,0,19,4,1,52.4
"202404",40,8,2,0,0,22,4,0,50
"202405",46,6,1,0,1,31,7,1,57.4
"202406",25,9,3,0,2,15,2,0,49.6
"202407",19,4,2,0,0,9,2,0,65.5
"202408",26,0,1,0,0,22,8,0,39.6
"202409",24,1,1,0,1,26,6,1,47.2
"202410",16,6,3,0,2,21,5,1,37
"202411",23,5,8,0,1,42,11,1,44.6
"202412",18,3,5,2,0,29,9,3,37.9
"202413",10,2,2,0,0,26,1,0,24.4
"202414",9,2,0,0,1,21,3,3,33.6
"202415",22,5,2,1,2,30,8,2,39.3
"202416",14,4,5,0,2,28,9,3,35.5
"202417",22,0,1,0,1,26,4,1,27.4
"202418",17,3,6,1,2,39,5,2,28
"202419",16,3,2,0,1,46,7,0,33.9
"202420",13,2,2,1,2,25,1,1,22.2
"202421",16,4,12,0,1,20,5,8,25.7
"202422",15,2,8,0,3,21,7,2,20.6
"202423",5,2,1,0,1,28,10,3,27
"202424",1,2,4,0,4,20,10,4,28.9
"202425",21,1,8,0,0,35,15,0,27.2
"202426",8,1,3,1,3,19,14,2,17.4
"202427",9,4,1,0,4,25,7,0,30.1
"202428",5,1,1,1,6,36,7,0,20.6
"202429",2,2,2,0,0,16,8,0,20.8
"202430",,,,,,,,,
"202431",,,,,,,,,
"202432",,,,,,,,,
"202433",,,,,,,,,
"202434",,,,,,,,,
"202435",,,,,,,,,
"202436",,,,,,,,,
"202437",,,,,,,,,
"202438",,,,,,,,,
"202439",,,,,,,,,